"filename", "language", "Properties", "Markdown", "Kotlinscript", "XML", "JSON", "Batch", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\edittext_background.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\gradient_background.xml", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_apple.xml", "XML", 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_back.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_clock.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_dash.xml", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_dowload.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_drop_down.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_facebook.xml", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_google.xml", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_gridview.xml", "XML", 0, 0, 0, 21, 0, 0, 0, 3, 8, 32
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_profile.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icons_home.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\orange_button_background.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\phone_call_telephone_svgrepo_com.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_intro.xml", "XML", 0, 0, 0, 85, 0, 0, 0, 0, 17, 102
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_login.xml", "XML", 0, 0, 0, 144, 0, 0, 0, 3, 13, 160
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_movie_detail.xml", "XML", 0, 0, 0, 265, 0, 0, 0, 0, 40, 305
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_otp.xml", "XML", 0, 0, 0, 88, 0, 0, 0, 0, 7, 95
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_phonenumber.xml", "XML", 0, 0, 0, 66, 0, 0, 0, 0, 2, 68
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_search.xml", "XML", 0, 0, 0, 45, 0, 0, 0, 2, 7, 54
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_signup.xml", "XML", 0, 0, 0, 133, 0, 0, 0, 0, 11, 144
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_category.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_dowload.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_home.xml", "XML", 0, 0, 0, 94, 0, 0, 0, 5, 14, 113
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_profile.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_banner.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie.xml", "XML", 0, 0, 0, 72, 0, 0, 0, 7, 11, 90
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie_search.xml", "XML", 0, 0, 0, 76, 0, 0, 0, 0, 11, 87
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_person.xml", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\menu\bottom_menu.xml", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 10, 0, 13
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 14, 0, 19
"c:\Users\Hi\Coder\MovieApp\app\src\test\java\com\example\movieapp\ExampleUnitTest.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 9, 5, 3, 17
"c:\Users\Hi\Coder\MovieApp\build.gradle.kts", "Kotlinscript", 0, 0, 4, 0, 0, 0, 0, 1, 0, 5
"c:\Users\Hi\Coder\MovieApp\gradle.properties", "Properties", 4, 0, 0, 0, 0, 0, 0, 19, 0, 23
"c:\Users\Hi\Coder\MovieApp\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Hi\Coder\MovieApp\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 39, 0, 29, 22, 90
"c:\Users\Hi\Coder\MovieApp\settings.gradle.kts", "Kotlinscript", 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"Total", "-", 9, 1, 145, 1673, 47, 39, 1127, 220, 455, 3716
